"","Jurkat","KMBC2","MCF7","231"
"O43865;Q96HN2",-4.18,-1.8,-0.415,-2.38
"O43896",-3.4,-4.17,-2.34,-1.69
"O43896;O60333;Q12756",-0.804,-4.15,-1.36,-2.73
"O43903",-5.85,-0.643,-0.145,-0.35
"O43909",0.0884,-0.643,-0.145,-0.35
"O43913",-3.12,-3.24,-4.21,-3.72
"O43929",-3.01,-2.45,-1.3,-2.5
"O43933",-1.57,-2.4,-0.145,-0.35
"O60216",-2.2,-2.74,-0.7,-2.77
"O60218",-0.407,-3.34,-0.145,-0.35
"O60218;C9JRZ8",-0.676,-3.35,0.459,-1.14
"O60229",0.0884,-1.44,-0.145,-2.1
"O60231",-1.96,-1.56,-0.86,-1.54
"O60232",0.0884,0.191,1.42,0.203
"O60234",-3.02,-0.643,-0.145,-0.35
"O60237",0.0884,-0.643,-0.145,-0.35
"O60238",0.0884,-0.643,-0.145,-0.35
"O60244",-5.16,-7.28,-3.28,-7.07
"O60248",0.0884,-0.643,-0.145,-0.35
"O60256",-4.8,-2.29,-3.34,-2.61
"O60264",-2.73,-2.02,-0.998,-1.63
"O60264;P28370",-2.05,-2.3,-0.718,-1.09
"O60271",-1.31,-2.74,-0.785,-2.13
"O60281",-5.22,-2.89,-4.68,-7.07
"O60282;P33176",-0.721,-1.42,-2.26,-0.35
"O60287",-1.28,-1.85,-0.574,-0.371
"O60291",0.0884,-0.643,-0.145,-0.35
"O60292",-0.883,-4.36,-0.276,-3.94
"O60293",-3.14,-2.32,-1.05,-3.29
"O60294",-0.522,-0.643,-0.145,-0.35
"O60299",0.0884,-0.643,-1.56,-0.35
"O60303",-1.77,-1.52,-0.145,-0.35
"O60306",-2.29,-1.31,-0.32,-0.904
"O60308",-6.74,-6.13,-4.38,-5.62
"O60313",-0.914,-2.75,-1.07,-1.29
